titles,dates,creators,contributors,descriptions,coverage,subjects,types,formats,identifiers,languages,publishers,relations,rights,sources,,,,,,,,,,,
To Own is to Owe,2/19/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on February 19, 1939",,,Text,,ist0192,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Coming Face to Face with Ourselves,2/26/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on February 26, 1939",,,Text,,ist0193,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Thinking Through on our Temptations,3/5/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 5, 1939",,,Text,,ist0194,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Seeking the Sources of Morale,3/12/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 12, 1939",,,Text,,ist0195,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Thinking Through on Life's Highest Goods,3/9/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 9, 1939",,,Text,,ist0196,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Rethinking the Significance of Jesus for Our Modern Lives,3/26/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 26, 1939",,,Text,,ist0197,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Sources of Courage,4/2/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 2, 1939",,,Text,,ist0198,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
It Is Finished,4/7/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Montview Presbyterian Church on April 7, 1939",,,Text,,ist0199,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Communion Meditation,4/7/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 7, 1939",,,Text,,ist0200,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
A Faith that Restores Life,4/9/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 9, 1939",,,Text,,ist0201,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Growing Religiously,4/16/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 16, 1939",,,Text,,ist0202,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Morning Devotions,4/20/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at KOA on April 20, 1939",,Romans 8,Text,,ist0203,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Power of Encouragement,4/23/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 23, 1939",,,Text,,ist0204,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Importance of Right Thinking,4/30/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 30, 1939",,Philippians 4,Text,,ist0205,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Ambassadors of God,5/2/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on May 2, 1939. Devotional Service W.F.M.S. semi-annual convention, Denver-Grand Junction District.",,,Text,,ist0206,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Place of Faith in Religious Living,5/7/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on May 7, 1939",,1 John 5:4,Text,,ist0207,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Marks of Religious Growth,5/9/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at the Iliff School of Theology on May 9, 1939",,,Text,,ist0208,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Talk on Uniting Conference,5/14/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on May 14, 1939",,,Text,,ist0209,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
What is Religious Conversion?,5/21/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on May 21, 1939",,John 3,Text,,ist0210,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Iliff Chapel Talk,5/11/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at the Iliff School of Theology on May 11, 1939",,Matthew 12:28-34,Text,,ist0211,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Homemade Religion,5/14/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on May 14, 1939 (Mother's Day)",,,Text,,ist0212,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Great Personalities in Christian History: Martin Luther,6/18/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on June 18, 1939",,,Text,,ist0213,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Great Personalities in Christian History: The Unknown Christian,6/25/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on June 25, 1939",,,Text,,ist0214,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Great Works in the Bible Library: The Account of Isaiah's Vision,7/9/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on July 9, 1939",,,Text,,ist0215,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Great Works in the Bible Library: Paul's Letters to the Church at Corinth,7/23/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on July 23, 1939",,,Text,,ist0216,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Great Works in the Bible Library: The Gospels,7/30/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on July 30, 1939",,,Text,,ist0217,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Nearness of God,8/27/39,"Potthoff, Harvey",,"Sermon delivered in Morgan, Minnesota on August 27, 1939",,Psalms 46,Text,,ist0218,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Religion Gives Life New Meaning,10/1/39,"Potthoff, Harvey",,"Sermon delivered at Simpson Church evening service on October 1, 1939",,,Text,,ist0219,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Why the Double Load?,10/8/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on October 8, 1939",,,Text,,ist0220,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
A Formula for Religious Living,10/22/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on October 22, 1939",,,Text,,ist0221,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Kind of God in Whom We Can Believe,10/1/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on October 1, 1939",,,Text,,ist0222,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
We Can Be Creators,9/3/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on September 03, 1939",,,Text,,ist0223,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Three Rules for Becoming a Real Person,9/10/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on September 10, 1939",,,Text,,ist0224,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Life is Full of New Beginnings,9/17/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on September 17, 1939",,Luke 19,Text,,ist0225,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Mankind's Persistent Quest for God,9/24/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on September 24, 1939",,,Text,,ist0226,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Progressing in Our Thought of Prayer,10/29/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on October 29, 1939",,,Text,,ist0227,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Life Can Be Rich Despite Our Limitations,11/5/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on November, 1939",,,Text,,ist0228,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Importance of the Church in Days like These,11/12/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on November 12, 1939",,,Text,,ist0229,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
When Gratitude Is Genuine,11/19/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on November 19, 1939 and University Park Church on November 22, 1939",,,Text,,ist0230,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Religion of Tomorrow,11/26/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on November 26, 1939",,,Text,,ist0231,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
University of Life,11/19/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at St. John's Cathedral on November 19, 1939",,,Text,,ist0232,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Worship,11/28/39,"Potthoff, Harvey",,"Sermon delivered on November 28, 1939",,,Text,,ist0233,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Use of Power - A Fundamental Test of Character,12/3/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on December 3, 1939",,,Text,,ist0234,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Need for Optimism in a Pessimistic World,12/10/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on December 10, 1939",,,Text,,ist0235,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Communion Meditation,12/17/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on December 17, 1939",,,Text,,ist0236,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
We Celebrate the Birth of Jesus,12/24/39,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on December 24, 1939",,,Text,,ist0237,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Eternal Presence,1939,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at the Iliff School of Theology in 1939",,,Text,,ist0238,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Untitled Sermon,1939,"Potthoff, Harvey",,,,,Text,,ist0239,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Untitled Sermon,1939,"Potthoff, Harvey",,,,,Text,,ist0240,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Adjusting Our Lives to Changing Conditions,1939,"Potthoff, Harvey",,,,,Text,,ist0241,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Great Personalities in Christian History: Paul,1939,"Potthoff, Harvey",,,,,Text,,ist0242,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Untitled Sermon,1939,"Potthoff, Harvey",,,,,Text,,ist0243,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Welcoming Life's New Experiences,1/12/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on January 12, 1940",,,Text,,ist0244,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Can We be Realistic and Religious at the Same Time?,1/14/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on January 14, 1940",,,Text,,ist0245,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Of What Are You Afraid?,1/21/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on January 21, 1940",,,Text,,ist0246,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Applying the Golden Rule,1/28/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on January 28, 1940",,,Text,,ist0247,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Ought We Really Turn the Other Cheek?,2/4/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on February 4, 1940",,Matthew 5,Text,,ist0248,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Untitled Sermon,2/6/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Iliff School of Theology on February 6, 1940",,Matthew 5,Text,,ist0249,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Need of Reverence in Our Modern World,2/11/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on February 11, 1940 (Boy Scout Sunday)",,,Text,,ist0250,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Privilege of Religious Freedom,2/18/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on February 18, 1940",,,Text,,ist0251,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
